Days,Stock_A,Stock_B,Optimal_Lag,P_Value_A_to_B,Causal_A_to_B,P_Value_B_to_A,Causal_B_to_A
360,TSLA,OKLO,7,0.0028,Yes,0.0,Yes
360,TSLA,RKLB,14,0.0023,Yes,0.0641,No
360,TSLA,AI,8,0.0001,Yes,0.022,Yes
360,TSLA,AKAM,15,0.0005,Yes,0.0001,Yes
720,AAPL,BBAI,14,0.015,Yes,0.0,Yes
720,AAPL,SOUN,15,0.049,Yes,0.0,Yes
720,AAPL,QUBT,14,0.0638,No,0.0022,Yes
720,AAPL,OKLO,15,0.0154,Yes,0.0002,Yes
720,AAPL,RKLB,14,0.0,Yes,0.0,Yes
720,AAPL,AI,14,0.1156,No,0.0,Yes
720,AAPL,AKAM,8,0.0399,Yes,0.0001,Yes
720,GOOG,BBAI,15,0.0179,Yes,0.0,Yes
720,GOOG,SOUN,14,0.0,Yes,0.0,Yes
720,GOOG,QUBT,14,0.0014,Yes,0.004,Yes
720,GOOG,OKLO,14,0.0073,Yes,0.0059,Yes
720,GOOG,RKLB,14,0.0107,Yes,0.0006,Yes
720,GOOG,AI,15,0.0001,Yes,0.0,Yes
720,GOOG,AKAM,15,0.0008,Yes,0.0,Yes
720,MSFT,BBAI,14,0.436,No,0.0002,Yes
720,MSFT,SOUN,15,0.0201,Yes,0.0643,No
720,MSFT,QUBT,15,0.5625,No,0.4027,No
720,MSFT,OKLO,8,0.043,Yes,0.7311,No
720,MSFT,RKLB,14,0.0,Yes,0.0037,Yes
720,MSFT,AI,14,0.0,Yes,0.0,Yes
720,MSFT,AKAM,15,0.0,Yes,0.0001,Yes
720,NVDA,BBAI,14,0.3111,No,0.0,Yes
720,NVDA,SOUN,14,0.0055,Yes,0.0015,Yes
720,NVDA,QUBT,14,0.0001,Yes,0.0036,Yes
720,NVDA,OKLO,14,0.0048,Yes,0.2672,No
720,NVDA,RKLB,15,0.0,Yes,0.0,Yes
720,NVDA,AI,14,0.0005,Yes,0.0032,Yes
720,NVDA,AKAM,15,0.0,Yes,0.0,Yes
720,META,BBAI,14,0.0421,Yes,0.0,Yes
720,META,SOUN,14,0.0,Yes,0.0022,Yes
720,META,QUBT,14,0.0,Yes,0.1832,No
720,META,OKLO,14,0.0,Yes,0.0009,Yes
720,META,RKLB,14,0.0,Yes,0.0038,Yes
720,META,AI,14,0.001,Yes,0.0,Yes
720,META,AKAM,15,0.0,Yes,0.0002,Yes
720,AMZN,BBAI,14,0.0027,Yes,0.0,Yes
720,AMZN,SOUN,14,0.0,Yes,0.0316,Yes
720,AMZN,QUBT,14,0.0,Yes,0.2288,No
720,AMZN,OKLO,7,0.0035,Yes,0.0464,Yes
720,AMZN,RKLB,14,0.0,Yes,0.0111,Yes
720,AMZN,AI,14,0.0001,Yes,0.0002,Yes
720,AMZN,AKAM,15,0.0,Yes,0.0005,Yes
720,TSLA,BBAI,14,0.0126,Yes,0.0,Yes
720,TSLA,SOUN,15,0.0004,Yes,0.0009,Yes
720,TSLA,QUBT,15,0.0,Yes,0.0,Yes
720,TSLA,OKLO,7,0.0028,Yes,0.0,Yes
720,TSLA,RKLB,14,0.0,Yes,0.0003,Yes
720,TSLA,AI,15,0.0139,Yes,0.0004,Yes
720,TSLA,AKAM,15,0.0,Yes,0.0,Yes
